variable,question,Touchpoint,Construct,Dashboard Role
T_SC2_26,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_29,Memberikan nomor antrian kepada nasabah - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_32,Mengatur antrian nasabah - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_35,Mengucapkan terima kasih saat nasabah pulang - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_38,Jumlah sekuriti memadai - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_41,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP) - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_44,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga - XYZ,Security,Attribute Satisfaction,Drilldown
T_SC2_47,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SEKURITI Bank…? - XYZ",Security,Overall Touchpoint Satisfaction,KPI
T_SC2_3,"Penampilannya sesuai dengan standar (tinggi, tegap, besar dan tidak gemuk) - kompetitor",Security,Attribute Satisfaction,Drilldown
T_SC2_6,Penampilannya rapi - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_9,Menggunakan seragam sekuriti yang lengkap - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_12,Menyambut nasabah dengan ramah - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_15,Berperilaku sopan - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_18,Mengucapkan salam saat nasabah datang/pulang - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_21,Menawarkan bantuan saat nasabah datang - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_24,Mengarahkan nasabah dan mengkonfirmasi kelengkapan dokumen yang diperlukan untuk bertransaksi - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_27,Memiliki pengetahuan yang memadai untuk menjawab pertanyaan dari nasabah - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_30,Memberikan nomor antrian kepada nasabah - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_33,Mengatur antrian nasabah - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_36,Mengucapkan terima kasih saat nasabah pulang - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_39,Jumlah sekuriti memadai - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_42,Keberadaan Satpam Luar Banking Hall yang siap dan siaga (N/A untuk KCP) - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_45,Keberadaan Satpam Dalam Banking Hall yang siap dan siaga - kompetitor,Security,Attribute Satisfaction,Drilldown
T_SC2_48,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap SEKURITI Bank…? - kompetitor",Security,Overall Touchpoint Satisfaction,KPI
TL1,"Menurut anda, kapankah saat PALING diperlukan untuk memperbanyak jumlah teller sehingga mengurangi jumlah antrian di bank?",,Usage,Other
T_TL2_1,Waktu antrian di Teller cepat,Teller,Attribute Satisfaction,Drilldown
T_TL2_2,Sistem antrian yang dilengkapi dengan nomor antrian,Teller,Attribute Satisfaction,Drilldown
T_TL2_3,Layanan yang diberikan teller cepat,Teller,Attribute Satisfaction,Drilldown
T_TL2_4,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong),Teller,Attribute Satisfaction,Drilldown
T_TL2_5,Tellernya berpenampilan rapi dan menarik,Teller,Attribute Satisfaction,Drilldown
T_TL2_6,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi),Teller,Attribute Satisfaction,Drilldown
T_TL2_7,Kehandalan sistem komputer untuk Teller (online),Teller,Attribute Satisfaction,Drilldown
T_TL2_8,Teller memiliki pengetahuan yang memadai,Teller,Attribute Satisfaction,Drilldown
T_TL2_9,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll)",Teller,Attribute Satisfaction,Drilldown
T_TL2_10,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani),Teller,Attribute Satisfaction,Drilldown
T_TL2_11,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan,Teller,Attribute Satisfaction,Drilldown
T_TL2_12,Tellernya tidak mengobrol dengan rekannya / petugas bank lain,Teller,Attribute Satisfaction,Drilldown
T_TL2_13,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu),Teller,Attribute Satisfaction,Drilldown
T_TL2_14,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah,Teller,Attribute Satisfaction,Drilldown
T_TL2_15,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah),Teller,Attribute Satisfaction,Drilldown
T_TL2_16,Tellernya selalu melakukan validas setelah selesai transaksi di Teller,Teller,Attribute Satisfaction,Drilldown
T_TL2_17,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah),Teller,Attribute Satisfaction,Drilldown
T_TL2_18,Terdapat papan nama Teller di area meja kerja Teller,Teller,Attribute Satisfaction,Drilldown
T_TL2_19,Terdapat informasi/signage transaksi di meja kerja teller,Teller,Attribute Satisfaction,Drilldown
T_TL3_2,Waktu antrian di Teller cepat - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_5,Sistem antrian yang dilengkapi dengan nomor antrian - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_8,Layanan yang diberikan teller cepat      - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_11,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong) - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_14,Tellernya berpenampilan rapi dan menarik - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_17,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_20,Kehandalan sistem komputer untuk Teller (online) - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_23,Teller memiliki pengetahuan yang memadai - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_26,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - XYZ",Teller,Attribute Satisfaction,Drilldown
T_TL3_29,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani) - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_32,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_35,Tellernya tidak mengobrol dengan rekannya / petugas bank lain - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_38,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu) - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_41,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_44,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_47,Tellernya selalu melakukan validas setelah selesai transaksi di Teller - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_50,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah) - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_53,Terdapat papan nama Teller di area meja kerja Teller - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_56,Terdapat informasi/signage transaksi di meja kerja teller - XYZ,Teller,Attribute Satisfaction,Drilldown
T_TL3_59,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TELLER bank…? - XYZ",Teller,Overall Touchpoint Satisfaction,KPI
T_TL3_3,Waktu antrian di Teller cepat - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_6,Sistem antrian yang dilengkapi dengan nomor antrian - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_9,Layanan yang diberikan teller cepat      - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_12,Jumlah teller di kantor cabang mencukupi pada saat jam sibuk (meja teller tidak ada yang kosong) - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_15,Tellernya berpenampilan rapi dan menarik - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_18,Akurat dalam melakukan transaksi (Tidak salah dalam melakukan transaksi) - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_21,Kehandalan sistem komputer untuk Teller (online) - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_24,Teller memiliki pengetahuan yang memadai - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_27,"Teller memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - kompetitor",Teller,Attribute Satisfaction,Drilldown
T_TL3_30,Tellernya ramah selama melayani (tersenyum dan tidak jutek selama melayani) - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_33,Tellernya mengucapkan salam saat menyambut dan mengakhiri layanan - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_36,Tellernya tidak mengobrol dengan rekannya / petugas bank lain - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_39,Menunjukkan keinginan untuk membantu nasabah (selalu menanyakan apalagi yang bisa dibantu) - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_42,Teller memperkenalkan diri/menyebut namanya saat menyambut nasabah - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_45,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_48,Tellernya selalu melakukan validas setelah selesai transaksi di Teller - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_51,Memberikan usaha lebih/extra effort untuk nasabahnya (membantu mengecek pengisian slip setoran/penarikan/pembayaran/verifikasi/konfirmasi data nasabah) - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_54,Terdapat papan nama Teller di area meja kerja Teller - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_57,Terdapat informasi/signage transaksi di meja kerja teller - kompetitor,Teller,Attribute Satisfaction,Drilldown
T_TL3_60,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap TELLER bank…? - kompetitor",Teller,Overall Touchpoint Satisfaction,KPI
TL5,Berapa lama waktu tunggu/antri Teller Anda untuk kunjungan hari ini? ___ menit,,Other,Other
TL6,Berapa lamakah waktu tunggu/antri Teller yang Anda bisa terima/toleransi? ___ menit,,Other,Other
CS1,"Menurut anda, pada saat kapan yang PALING diperlukan untuk menambah jumlah Customer Service sehingga mengurangi jumlah antrian di bank?",,Usage,Other
T_CS2_1,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani),Customer Service,Attribute Satisfaction,Drilldown
T_CS2_2,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong),Customer Service,Attribute Satisfaction,Drilldown
T_CS2_3,Mengetahui pengetahuan yang baik tentang produk perbankan,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_4,Memberikan solusi yang tepat terhadap permasalahan nasabah,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_5,Cepat dalam memberikan layanan,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_6,Teliti dalam memberikan layanan,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_7,Waktu antrian di CS cepat,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_8,CS memiliki kehandalan sistem komputer di meja CS (online),Customer Service,Attribute Satisfaction,Drilldown
T_CS2_9,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_10,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_11,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll)",Customer Service,Attribute Satisfaction,Drilldown
T_CS2_12,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_13,Memberikan informasi yang lengkap dan akurat,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_14,Tidak mengobrol dengan rekan kerja,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_15,CS berpenampilan rapi dan menarik,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_16,Menunjukkan keinginan untuk membantu nasabah,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_17,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah).1,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_18,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_19,CSnya mengucapkan terima kasih saat mengakhiri layanan,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_20,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah)",Customer Service,Attribute Satisfaction,Drilldown
T_CS2_21,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_22,Terdapat papan nama CS di area meja kerja CS,Customer Service,Attribute Satisfaction,Drilldown
T_CS2_23,Terdapat informasi/signage terkait status transaksi CS,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_2,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani) - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_5,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong) - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_8,Mengetahui pengetahuan yang baik tentang produk perbankan  - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_11,Memberikan solusi yang tepat terhadap permasalahan nasabah  - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_14,Cepat dalam memberikan layanan - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_17,Teliti dalam memberikan layanan - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_20,Waktu antrian di CS cepat - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_23,CS memiliki kehandalan sistem komputer di meja CS (online) - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_26,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_29,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_32,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - XYZ",Customer Service,Attribute Satisfaction,Drilldown
T_CS3_35,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_38,Memberikan informasi yang lengkap dan akurat - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_41,Tidak mengobrol dengan rekan kerja  - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_44,CS berpenampilan rapi dan menarik  - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_47,Menunjukkan keinginan untuk membantu nasabah - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_50,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - XYZ.1,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_53,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_56,CSnya mengucapkan terima kasih saat mengakhiri layanan - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_59,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - XYZ",Customer Service,Attribute Satisfaction,Drilldown
T_CS3_62,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_65,Terdapat papan nama CS di area meja kerja CS - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_68,Terdapat informasi/signage terkait status transaksi CS - XYZ,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_71,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER SERVICE bank….. - XYZ",Customer Service,Overall Touchpoint Satisfaction,KPI
T_CS3_3,CS ramah selama melayani (tersenyum dan tidak jutek selama melayani) - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_6,Jumlah Customer Service yang melayani cukup pada saat jam sibuk (meja CS tidak ada yang kosong) - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_9,Mengetahui pengetahuan yang baik tentang produk perbankan  - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_12,Memberikan solusi yang tepat terhadap permasalahan nasabah  - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_15,Cepat dalam memberikan layanan - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_18,Teliti dalam memberikan layanan - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_21,Waktu antrian di CS cepat - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_24,CS memiliki kehandalan sistem komputer di meja CS (online) - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_27,CS memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CS ketika menjelaskan produk kepada nasabah - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_30,CS memiliki pemahaman terhadap permintaan/permasalahan nasabah - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_33,"CS memberikan edukasi tentang penggunaan e-channel (ATM, Mobile Banking, dll) - kompetitor",Customer Service,Attribute Satisfaction,Drilldown
T_CS3_36,CS menjelaskan proses pembukaan rekening baru dengan e-form (formulir elektronik) dengan baik - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_39,Memberikan informasi yang lengkap dan akurat - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_42,Tidak mengobrol dengan rekan kerja  - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_45,CS berpenampilan rapi dan menarik  - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_48,Menunjukkan keinginan untuk membantu nasabah - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_51,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah) - kompetitor.1,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_54,CSnya mengucapkan salam saat menyambut dan mengakhiri layanan - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_57,CSnya mengucapkan terima kasih saat mengakhiri layanan - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_60,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah) - kompetitor",Customer Service,Attribute Satisfaction,Drilldown
T_CS3_63,CSnya menawarkan bantuan lain ketika akan mengakhiri layanan - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_66,Terdapat papan nama CS di area meja kerja CS - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_69,Terdapat informasi/signage terkait status transaksi CS - kompetitor,Customer Service,Attribute Satisfaction,Drilldown
T_CS3_72,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER SERVICE bank….. - kompetitor",Customer Service,Overall Touchpoint Satisfaction,KPI
CS5,Berapa lama waktu tunggu/antri CS Anda untuk kunjungan hari ini? ___ menit,,Other,Other
CS6,Berapa lamakah waktu tunggu/antri CS yang Anda bisa terima/toleransi? ___ menit,,Other,Other
T_CA1_1,CA ramah selama melayani (tersenyum dan tidak jutek selama melayani),Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_2,CA selalu standby ketika dibutuhkan,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_3,Mengetahui pengetahuan yang baik tentang produk perbankan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_4,Cepat dalam memberikan layanan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_5,Teliti dalam memberikan layanan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_6,Waktu  layanan oleh CA cepat,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_7,Dapat menangani berbagai macam masalah sesuai kebutuhan,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_8,CA memiliki keandalan sistem komputer/Laptop yang di gunakan (online),Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_9,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CA ketika menjelaskan produk kepada nasabah,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_10,CA memiliki pemahaman terhadap permintaan/permasalahan nasabah,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_11,Memberikan informasi yang lengkap dan akurat.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_12,Tidak mengobrol dengan rekan kerja.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_13,CA berpenampilan rapi dan menarik,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_14,Menunjukkan keinginan untuk membantu nasabah.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_15,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah).2,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_16,CA mengucapkan salam saat menyambut dan mengakhiri layanan,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_17,CA mengucapkan terima kasih saat mengakhiri layanan,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_18,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah).1",Customer Advisor,Attribute Satisfaction,Drilldown
T_CA1_19,CA menawarkan bantuan lain ketika akan mengakhiri layanan,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_1,CA ramah selama melayani (tersenyum dan tidak jutek selama melayani).1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_2,CA selalu standby ketika dibutuhkan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_3,Mengetahui pengetahuan yang baik tentang produk perbankan.2,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_4,Cepat dalam memberikan layanan.2,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_5,Teliti dalam memberikan layanan.2,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_6,Waktu  layanan oleh CA cepat.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_7,Dapat menangani berbagai macam masalah sesuai kebutuhan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_8,CA memiliki keandalan sistem komputer/Laptop yang di gunakan (online).1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_9,CA memiliki pengetahuan dalam menjawab pertanyaan nasabah atau pengetahuan CA ketika menjelaskan produk kepada nasabah.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_10,CA memiliki pemahaman terhadap permintaan/permasalahan nasabah.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_11,Memberikan informasi yang lengkap dan akurat.2,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_12,Tidak mengobrol dengan rekan kerja.2,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_13,CA berpenampilan rapi dan menarik.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_14,Menunjukkan keinginan untuk membantu nasabah.2,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_15,Memberikan pelayanan dengan pendekatan personal (menyebut nama nasabah).3,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_16,CA mengucapkan salam saat menyambut dan mengakhiri layanan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_17,CA mengucapkan terima kasih saat mengakhiri layanan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_18,"Menginformasikan produk, promo, dan kebijakan terbaru kepada nasabah dengan cara yang baik (disesuaikan dengan ketersediaan waktu nasabah).2",Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_19,CA menawarkan bantuan lain ketika akan mengakhiri layanan.1,Customer Advisor,Attribute Satisfaction,Drilldown
T_CA2_20,"Dengan mempertimbangkan berbagai hal, bagaimana penilaian keseluruhan terhadap CUSTOMER ADVISOR bank",Customer Advisor,Overall Touchpoint Satisfaction,KPI
T_SL1_1,Terdapat Smart Tab pada kantor cabang,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_2,CA menggunakan Smart Tab ketika menjelaskan kepada nasabah,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_3,Terdapat XYZ Santer pada kantor cabang,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_4,XYZ Santer dapat berfungsi dengan baik,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_5,Terdapat Digital Signage pada kantor cabang,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_6,Digital Signage dapat berfungsi dengan baik,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_7,Terdapat Smart Table pada kantor cabang,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_8,Smart Table dapat berfungsi dengan baik,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_9,Terdapat Pinpad pada area kerja CS,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_10,Pinpad dapat berfungsi dengan baik,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_11,Terdapat Pinpad pada area kerja Teller,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_12,Pinpad dapat berfungsi dengan baik.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_13,"Terdapat mesin CRM pada kantor cabang (CRM adalah mesin ATM yang memiliki fungsi ATM Tarikan Tunai, ATM Non Tunai, dan ATM Setoran Tunai)",Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_14,Mesin CRM dapat berfungsi dengan baik,Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_15,Terdapat mesin TCR pada kantor cabang (TCR adalah mesin setor tunai di mana nasabah dapat melakukan setoran tunai secara mandiri di area toonbank teller),Service Electronics,Attribute Satisfaction,Drilldown
T_SL1_16,Mesin TCR dapat berfungsi dengan baik,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_1,Terdapat Smart Tab pada kantor cabang.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_2,CA menggunakan Smart Tab ketika menjelaskan kepada nasabah.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_3,Terdapat XYZ Santer pada kantor cabang.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_4,XYZ Santer dapat berfungsi dengan baik.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_5,Terdapat Digital Signage pada kantor cabang.1,Service Electronics,Attribute Satisfaction,Drilldown
T_SL2_6,Digital Signage dapat berfungsi dengan baik.1,Service Electronics,Attribute Satisfaction,Drilldown
